url
resource_type
title
handle
keep_change_decision
target_url
seo_notes
status
"/pages/store-locator","page","Store Locator","store-locator","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/join-the-team","page","Join the Team","join-the-team","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/eltee-sydney-x-share-the-dignity","page","Eltee Sydney x Share the Dignity","eltee-sydney-x-share-the-dignity","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/period-inclusive-swim-campaign","page","Period-Inclusive Swim Campaign","period-inclusive-swim-campaign","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/erina-store","page","Erina Store","erina-store","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/returns-jj","page","Returns","returns-jj","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/returns-es","page","Returns & Exchanges","returns-es","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/bloody-good-sport","page","Bloody Good Sport","bloody-good-sport","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/period-swim-underwear-for-sailing","page","Period Swim Underwear for Sailing","period-swim-underwear-for-sailing","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/comp-swimmers","page","Period Solutions for Competitive Swimmers","comp-swimmers","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/para-swimmers","page","Period Solutions for Para Swimmers","para-swimmers","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/period-info-guides/school-holiday-activities-adults-enjoy","article","8 School Holiday Activities For Curious, Sporty and Creative Kids","school-holiday-activities-adults-enjoy","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/all-about-confidence","article","A How To Guide for Building Body Acceptance and Self-Assurance in Girls","all-about-confidence","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/sport-doesnt-like-it","article","Sport, She Just Doesn't Like It","sport-doesnt-like-it","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/lava-tribe-2021-best-fairest-award","article","LAVA TRIBE 2021 BEST & FAIREST AWARD","lava-tribe-2021-best-fairest-award","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/mastering-her-cycle","article","Mastering Her Cycle Early: The Ultimate Performance Hack for Girls in Sports","mastering-her-cycle","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/mia-freedman-lava-tribe-product-review","article","Mia Freedman: Lava Tribe product review","mia-freedman-lava-tribe-product-review","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/why-girls-who-play-sport-win-at-wellbeing","article","Why Girls Who Play Sport Win At Wellbeing","why-girls-who-play-sport-win-at-wellbeing","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/girls-gym-ready","article","My daughter wants to join the gym, is she too young?","girls-gym-ready","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/spotlight-on-isla-14-gymnastics-qld","article","SPOTLIGHT ON: Isla | 14 | Gymnastics | QLD","spotlight-on-isla-14-gymnastics-qld","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/spotlight-on-sybella-w-12-para-athlete-nsw","article","SPOTLIGHT ON: Sybella W | 12 | Para Athlete | NSW","spotlight-on-sybella-w-12-para-athlete-nsw","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/six-trailblazing-women-in-australian-sport","article","Six trailblazing women in Australian sport","six-trailblazing-women-in-australian-sport","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/four-ways-to-get-the-fam-moving-during-self-isolation","article","Four ways to get the fam moving during self isolation","four-ways-to-get-the-fam-moving-during-self-isolation","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/8-celebrity-who-rock-their-sporty-style","article","5 Celebrities Who Rock Their Sporty Style","8-celebrity-who-rock-their-sporty-style","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/skin-changes-in-pre-teens","article","Healthy Skincare Habits Begin Pre-Teen","skin-changes-in-pre-teens","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/doing-the-best-i-can","article","""Doing the best I can""","doing-the-best-i-can","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/girls-breast-development","article","Bosom Buddies: A Relatable Guide to Breast Development","girls-breast-development","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/active-life-active-mind-how-sports-and-fitness-help-kids-stay-on-track-at-school","article","Active Life, Active Mind: How Sports and Fitness Help Kids Stay on Track at School","active-life-active-mind-how-sports-and-fitness-help-kids-stay-on-track-at-school","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/6-simple-skincare-steps-for-sporty-girls","article","6 Simple Skincare Tips for Sporty Girls","6-simple-skincare-steps-for-sporty-girls","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/support-sporty-girls-adolescence","article","Championing Change: 5 Ways to Keep Her in the Game During Puberty","support-sporty-girls-adolescence","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/survey-periods-impact-sport","article","Survey: Periods and the Impact on Girls’ Participation in Sport","survey-periods-impact-sport","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/why-girls-quit-sport","article","Why Girls Quit Sport & How We Can Beat the Dropout Rate","why-girls-quit-sport","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/the-gloves-are-on","article","The Gloves Are On","the-gloves-are-on","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/empowering-girls-through-activewear-and-beyond-a-fathers-vision","article","A Father's Mission: How a Central Coast dad built the go-to brand for tomorrow's female sports superstars","empowering-girls-through-activewear-and-beyond-a-fathers-vision","KEEP - pending content/SEO triage","","Blog: -","UNPUBLISHED"
"/period-info-guides/play-on-tween-and-teen-girls-period-undies","article","What's so good about our period underwear? Glad you asked!","play-on-tween-and-teen-girls-period-undies","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/4-period-signs","article","First Period Alert: 4 Surefire Signs That It's On Its Way","4-period-signs","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/pads-vs-period-undies-whats-the-difference","article","Pads vs. Period Underwear: Which is Best for Tweens and Teens?","pads-vs-period-undies-whats-the-difference","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/what-can-girls-wear-under-a-leotard-during-their-period","article","What Makes Dance Period Underwear the Best Choice for Active Teens?","what-can-girls-wear-under-a-leotard-during-their-period","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/first-guide-to-using-pads-and-tampons","article","Ultimate First Timer’s Guide to Using Pads and Tampons","first-guide-to-using-pads-and-tampons","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/keep-your-tropes-sheargold-matildas-remarks-are-no-joke","article","Marty Sheargold’s Matildas Remarks Are No Joke","keep-your-tropes-sheargold-matildas-remarks-are-no-joke","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/period-positivity-for-dads","article","Period Positivity for Dads With Daughters","period-positivity-for-dads","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/mums-v-chappell-roan","article","A Tale of Two Lies: Mums v Chappell Roan","mums-v-chappell-roan","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/sport-girls-leadership","article","Want to Raise a Leader? Keep Her in Sport","sport-girls-leadership","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/leotards-first-periods-the-awkward-in-between","article","Leotards, First Periods & The Awkward In-Between","leotards-first-periods-the-awkward-in-between","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/first-period-checklist-for-mums","article","First Period Checklist for Mums","first-period-checklist-for-mums","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/periodwear-care-tips","article","Periodwear Care Tips","periodwear-care-tips","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/sport-uniforms-and-periods","article","Sport Uniforms and Periods","sport-uniforms-and-periods","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/halloween-stigma-real-horror","article","You Want Scary? Try Centuries of Period Stigma.","halloween-stigma-real-horror","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
"/period-info-guides/periodwear-sustainability","article","Periodwear Sustainability","periodwear-sustainability","KEEP - pending content/SEO triage","","Blog: -","PUBLISHED"
